"Prebivalstvo po velikih in petletnih starostnih skupinah in spolu, statistiène regije, Slovenija, letno"

"Moški"
" ";"Pomurska"
" ";" ";"0-4 let"
" ";" ";" ";"2010";2597
" ";" ";" ";"2011";2685
" ";" ";" ";"2012";2716
" ";" ";" ";"2013";2737
" ";" ";" ";"2014";2745
" ";" ";"5-9 let"
" ";" ";" ";"2010";2589
" ";" ";" ";"2011";2508
" ";" ";" ";"2012";2492
" ";" ";" ";"2013";2515
" ";" ";" ";"2014";2521
" ";" ";"10-14 let"
" ";" ";" ";"2010";2763
" ";" ";" ";"2011";2725
" ";" ";" ";"2012";2640
" ";" ";" ";"2013";2592
" ";" ";" ";"2014";2576
" ";" ";"15-19 let"
" ";" ";" ";"2010";3069
" ";" ";" ";"2011";2964
" ";" ";" ";"2012";2926
" ";" ";" ";"2013";2758
" ";" ";" ";"2014";2610
" ";" ";"20-24 let"
" ";" ";" ";"2010";3311
" ";" ";" ";"2011";3144
" ";" ";" ";"2012";3087
" ";" ";" ";"2013";3016
" ";" ";" ";"2014";2871
" ";" ";"25-29 let"
" ";" ";" ";"2010";4353
" ";" ";" ";"2011";4220
" ";" ";" ";"2012";4062
" ";" ";" ";"2013";3875
" ";" ";" ";"2014";3723
" ";" ";"30-34 let"
" ";" ";" ";"2010";4788
" ";" ";" ";"2011";4639
" ";" ";" ";"2012";4571
" ";" ";" ";"2013";4434
" ";" ";" ";"2014";4326
" ";" ";"35-39 let"
" ";" ";" ";"2010";4573
" ";" ";" ";"2011";4722
" ";" ";" ";"2012";4750
" ";" ";" ";"2013";4727
" ";" ";" ";"2014";4641
" ";" ";"40-44 let"
" ";" ";" ";"2010";4554
" ";" ";" ";"2011";4518
" ";" ";" ";"2012";4485
" ";" ";" ";"2013";4462
" ";" ";" ";"2014";4437
" ";" ";"45-49 let"
" ";" ";" ";"2010";4568
" ";" ";" ";"2011";4574
" ";" ";" ";"2012";4579
" ";" ";" ";"2013";4507
" ";" ";" ";"2014";4521
" ";" ";"50-54 let"
" ";" ";" ";"2010";4966
" ";" ";" ";"2011";4770
" ";" ";" ";"2012";4632
" ";" ";" ";"2013";4590
" ";" ";" ";"2014";4528
" ";" ";"55-59 let"
" ";" ";" ";"2010";4847
" ";" ";" ";"2011";4916
" ";" ";" ";"2012";4947
" ";" ";" ";"2013";4934
" ";" ";" ";"2014";4829
" ";" ";"60-64 let"
" ";" ";" ";"2010";3587
" ";" ";" ";"2011";3878
" ";" ";" ";"2012";4173
" ";" ";" ";"2013";4349
" ";" ";" ";"2014";4508
" ";" ";"65-69 let"
" ";" ";" ";"2010";2983
" ";" ";" ";"2011";2954
" ";" ";" ";"2012";3043
" ";" ";" ";"2013";3118
" ";" ";" ";"2014";3162
" ";" ";"70-74 let"
" ";" ";" ";"2010";1876
" ";" ";" ";"2011";1963
" ";" ";" ";"2012";2065
" ";" ";" ";"2013";2246
" ";" ";" ";"2014";2432
" ";" ";"75-79 let"
" ";" ";" ";"2010";1433
" ";" ";" ";"2011";1440
" ";" ";" ";"2012";1462
" ";" ";" ";"2013";1429
" ";" ";" ";"2014";1477
" ";" ";"80-84 let"
" ";" ";" ";"2010";887
" ";" ";" ";"2011";959
" ";" ";" ";"2012";946
" ";" ";" ";"2013";957
" ";" ";" ";"2014";954
" ";" ";"85-89 let"
" ";" ";" ";"2010";354
" ";" ";" ";"2011";374
" ";" ";" ";"2012";397
" ";" ";" ";"2013";444
" ";" ";" ";"2014";455
" ";" ";"90-94 let"
" ";" ";" ";"2010";79
" ";" ";" ";"2011";88
" ";" ";" ";"2012";93
" ";" ";" ";"2013";106
" ";" ";" ";"2014";116
" ";" ";"95-99 let"
" ";" ";" ";"2010";19
" ";" ";" ";"2011";21
" ";" ";" ";"2012";10
" ";" ";" ";"2013";5
" ";" ";" ";"2014";9
" ";" ";"100 + let"
" ";" ";" ";"2010";2
" ";" ";" ";"2011";3
" ";" ";" ";"2012";2
" ";" ";" ";"2013";4
" ";" ";" ";"2014";3
" ";"Podravska"
" ";" ";"0-4 let"
" ";" ";" ";"2010";7382
" ";" ";" ";"2011";7631
" ";" ";" ";"2012";7749
" ";" ";" ";"2013";7935
" ";" ";" ";"2014";7879
" ";" ";"5-9 let"
" ";" ";" ";"2010";6932
" ";" ";" ";"2011";6919
" ";" ";" ";"2012";6940
" ";" ";" ";"2013";6990
" ";" ";" ";"2014";7210
" ";" ";"10-14 let"
" ";" ";" ";"2010";7184
" ";" ";" ";"2011";7053
" ";" ";" ";"2012";6939
" ";" ";" ";"2013";6953
" ";" ";" ";"2014";6955
" ";" ";"15-19 let"
" ";" ";" ";"2010";8382
" ";" ";" ";"2011";8218
" ";" ";" ";"2012";8036
" ";" ";" ";"2013";7767
" ";" ";" ";"2014";7663
" ";" ";"20-24 let"
" ";" ";" ";"2010";11233
" ";" ";" ";"2011";10722
" ";" ";" ";"2012";10455
" ";" ";" ";"2013";10098
" ";" ";" ";"2014";9664
" ";" ";"25-29 let"
" ";" ";" ";"2010";11865
" ";" ";" ";"2011";11653
" ";" ";" ";"2012";11428
" ";" ";" ";"2013";11250
" ";" ";" ";"2014";11218
" ";" ";"30-34 let"
" ";" ";" ";"2010";12422
" ";" ";" ";"2011";12323
" ";" ";" ";"2012";12256
" ";" ";" ";"2013";12269
" ";" ";" ";"2014";12249
" ";" ";"35-39 let"
" ";" ";" ";"2010";12460
" ";" ";" ";"2011";12445
" ";" ";" ";"2012";12453
" ";" ";" ";"2013";12358
" ";" ";" ";"2014";12320
" ";" ";"40-44 let"
" ";" ";" ";"2010";12920
" ";" ";" ";"2011";12506
" ";" ";" ";"2012";12308
" ";" ";" ";"2013";12267
" ";" ";" ";"2014";12232
" ";" ";"45-49 let"
" ";" ";" ";"2010";12906
" ";" ";" ";"2011";12923
" ";" ";" ";"2012";12967
" ";" ";" ";"2013";12826
" ";" ";" ";"2014";12802
" ";" ";"50-54 let"
" ";" ";" ";"2010";12876
" ";" ";" ";"2011";12748
" ";" ";" ";"2012";12583
" ";" ";" ";"2013";12647
" ";" ";" ";"2014";12678
" ";" ";"55-59 let"
" ";" ";" ";"2010";12403
" ";" ";" ";"2011";12426
" ";" ";" ";"2012";12671
" ";" ";" ";"2013";12596
" ";" ";" ";"2014";12452
" ";" ";"60-64 let"
" ";" ";" ";"2010";8782
" ";" ";" ";"2011";9717
" ";" ";" ";"2012";10374
" ";" ";" ";"2013";10790
" ";" ";" ";"2014";11219
" ";" ";"65-69 let"
" ";" ";" ";"2010";8204
" ";" ";" ";"2011";7980
" ";" ";" ";"2012";7923
" ";" ";" ";"2013";7822
" ";" ";" ";"2014";7728
" ";" ";"70-74 let"
" ";" ";" ";"2010";6123
" ";" ";" ";"2011";6191
" ";" ";" ";"2012";6176
" ";" ";" ";"2013";6523
" ";" ";" ";"2014";7010
" ";" ";"75-79 let"
" ";" ";" ";"2010";4211
" ";" ";" ";"2011";4394
" ";" ";" ";"2012";4656
" ";" ";" ";"2013";4768
" ";" ";" ";"2014";4771
" ";" ";"80-84 let"
" ";" ";" ";"2010";2286
" ";" ";" ";"2011";2420
" ";" ";" ";"2012";2521
" ";" ";" ";"2013";2646
" ";" ";" ";"2014";2769
" ";" ";"85-89 let"
" ";" ";" ";"2010";861
" ";" ";" ";"2011";921
" ";" ";" ";"2012";985
" ";" ";" ";"2013";1082
" ";" ";" ";"2014";1158
" ";" ";"90-94 let"
" ";" ";" ";"2010";140
" ";" ";" ";"2011";178
" ";" ";" ";"2012";209
" ";" ";" ";"2013";251
" ";" ";" ";"2014";280
" ";" ";"95-99 let"
" ";" ";" ";"2010";42
" ";" ";" ";"2011";31
" ";" ";" ";"2012";27
" ";" ";" ";"2013";25
" ";" ";" ";"2014";22
" ";" ";"100 + let"
" ";" ";" ";"2010";8
" ";" ";" ";"2011";7
" ";" ";" ";"2012";7
" ";" ";" ";"2013";6
" ";" ";" ";"2014";6
" ";"Koroška"
" ";" ";"0-4 let"
" ";" ";" ";"2010";1796
" ";" ";" ";"2011";1821
" ";" ";" ";"2012";1844
" ";" ";" ";"2013";1859
" ";" ";" ";"2014";1799
" ";" ";"5-9 let"
" ";" ";" ";"2010";1649
" ";" ";" ";"2011";1606
" ";" ";" ";"2012";1620
" ";" ";" ";"2013";1627
" ";" ";" ";"2014";1727
" ";" ";"10-14 let"
" ";" ";" ";"2010";1799
" ";" ";" ";"2011";1808
" ";" ";" ";"2012";1754
" ";" ";" ";"2013";1724
" ";" ";" ";"2014";1632
" ";" ";"15-19 let"
" ";" ";" ";"2010";2007
" ";" ";" ";"2011";1937
" ";" ";" ";"2012";1881
" ";" ";" ";"2013";1832
" ";" ";" ";"2014";1769
" ";" ";"20-24 let"
" ";" ";" ";"2010";2363
" ";" ";" ";"2011";2182
" ";" ";" ";"2012";2081
" ";" ";" ";"2013";1965
" ";" ";" ";"2014";1791
" ";" ";"25-29 let"
" ";" ";" ";"2010";2762
" ";" ";" ";"2011";2739
" ";" ";" ";"2012";2634
" ";" ";" ";"2013";2588
" ";" ";" ";"2014";2519
" ";" ";"30-34 let"
" ";" ";" ";"2010";2890
" ";" ";" ";"2011";2879
" ";" ";" ";"2012";2859
" ";" ";" ";"2013";2783
" ";" ";" ";"2014";2700
" ";" ";"35-39 let"
" ";" ";" ";"2010";2665
" ";" ";" ";"2011";2687
" ";" ";" ";"2012";2696
" ";" ";" ";"2013";2735
" ";" ";" ";"2014";2765
" ";" ";"40-44 let"
" ";" ";" ";"2010";2799
" ";" ";" ";"2011";2689
" ";" ";" ";"2012";2637
" ";" ";" ";"2013";2600
" ";" ";" ";"2014";2580
" ";" ";"45-49 let"
" ";" ";" ";"2010";2998
" ";" ";" ";"2011";2987
" ";" ";" ";"2012";2998
" ";" ";" ";"2013";2955
" ";" ";" ";"2014";2926
" ";" ";"50-54 let"
" ";" ";" ";"2010";3235
" ";" ";" ";"2011";3116
" ";" ";" ";"2012";3011
" ";" ";" ";"2013";2956
" ";" ";" ";"2014";2887
" ";" ";"55-59 let"
" ";" ";" ";"2010";2875
" ";" ";" ";"2011";2970
" ";" ";" ";"2012";3098
" ";" ";" ";"2013";3137
" ";" ";" ";"2014";3094
" ";" ";"60-64 let"
" ";" ";" ";"2010";1991
" ";" ";" ";"2011";2196
" ";" ";" ";"2012";2327
" ";" ";" ";"2013";2422
" ";" ";" ";"2014";2583
" ";" ";"65-69 let"
" ";" ";" ";"2010";1723
" ";" ";" ";"2011";1648
" ";" ";" ";"2012";1620
" ";" ";" ";"2013";1701
" ";" ";" ";"2014";1721
" ";" ";"70-74 let"
" ";" ";" ";"2010";1332
" ";" ";" ";"2011";1380
" ";" ";" ";"2012";1430
" ";" ";" ";"2013";1437
" ";" ";" ";"2014";1476
" ";" ";"75-79 let"
" ";" ";" ";"2010";970
" ";" ";" ";"2011";969
" ";" ";" ";"2012";997
" ";" ";" ";"2013";1000
" ";" ";" ";"2014";1043
" ";" ";"80-84 let"
" ";" ";" ";"2010";487
" ";" ";" ";"2011";550
" ";" ";" ";"2012";578
" ";" ";" ";"2013";631
" ";" ";" ";"2014";646
" ";" ";"85-89 let"
" ";" ";" ";"2010";171
" ";" ";" ";"2011";194
" ";" ";" ";"2012";198
" ";" ";" ";"2013";197
" ";" ";" ";"2014";237
" ";" ";"90-94 let"
" ";" ";" ";"2010";33
" ";" ";" ";"2011";36
" ";" ";" ";"2012";44
" ";" ";" ";"2013";52
" ";" ";" ";"2014";48
" ";" ";"95-99 let"
" ";" ";" ";"2010";5
" ";" ";" ";"2011";6
" ";" ";" ";"2012";3
" ";" ";" ";"2013";3
" ";" ";" ";"2014";4
" ";" ";"100 + let"
" ";" ";" ";"2010";1
" ";" ";" ";"2011";1
" ";" ";" ";"2012";3
" ";" ";" ";"2013";1
" ";" ";" ";"2014";0
" ";"Savinjska"
" ";" ";"0-4 let"
" ";" ";" ";"2010";6790
" ";" ";" ";"2011";6927
" ";" ";" ";"2012";7013
" ";" ";" ";"2013";7198
" ";" ";" ";"2014";7059
" ";" ";"5-9 let"
" ";" ";" ";"2010";6050
" ";" ";" ";"2011";6129
" ";" ";" ";"2012";6227
" ";" ";" ";"2013";6283
" ";" ";" ";"2014";6577
" ";" ";"10-14 let"
" ";" ";" ";"2010";6468
" ";" ";" ";"2011";6403
" ";" ";" ";"2012";6322
" ";" ";" ";"2013";6331
" ";" ";" ";"2014";6210
" ";" ";"15-19 let"
" ";" ";" ";"2010";7293
" ";" ";" ";"2011";6910
" ";" ";" ";"2012";6766
" ";" ";" ";"2013";6525
" ";" ";" ";"2014";6430
" ";" ";"20-24 let"
" ";" ";" ";"2010";8281
" ";" ";" ";"2011";7834
" ";" ";" ";"2012";7551
" ";" ";" ";"2013";7023
" ";" ";" ";"2014";6538
" ";" ";"25-29 let"
" ";" ";" ";"2010";10393
" ";" ";" ";"2011";9941
" ";" ";" ";"2012";9542
" ";" ";" ";"2013";9370
" ";" ";" ";"2014";9065
" ";" ";"30-34 let"
" ";" ";" ";"2010";10686
" ";" ";" ";"2011";10687
" ";" ";" ";"2012";10769
" ";" ";" ";"2013";10723
" ";" ";" ";"2014";10522
" ";" ";"35-39 let"
" ";" ";" ";"2010";9837
" ";" ";" ";"2011";9833
" ";" ";" ";"2012";10018
" ";" ";" ";"2013";10182
" ";" ";" ";"2014";10427
" ";" ";"40-44 let"
" ";" ";" ";"2010";10259
" ";" ";" ";"2011";9881
" ";" ";" ";"2012";9598
" ";" ";" ";"2013";9518
" ";" ";" ";"2014";9576
" ";" ";"45-49 let"
" ";" ";" ";"2010";10602
" ";" ";" ";"2011";10554
" ";" ";" ";"2012";10605
" ";" ";" ";"2013";10492
" ";" ";" ";"2014";10390
" ";" ";"50-54 let"
" ";" ";" ";"2010";10542
" ";" ";" ";"2011";10420
" ";" ";" ";"2012";10342
" ";" ";" ";"2013";10288
" ";" ";" ";"2014";10333
" ";" ";"55-59 let"
" ";" ";" ";"2010";9679
" ";" ";" ";"2011";9935
" ";" ";" ";"2012";10207
" ";" ";" ";"2013";10291
" ";" ";" ";"2014";10175
" ";" ";"60-64 let"
" ";" ";" ";"2010";6822
" ";" ";" ";"2011";7508
" ";" ";" ";"2012";7933
" ";" ";" ";"2013";8290
" ";" ";" ";"2014";8798
" ";" ";"65-69 let"
" ";" ";" ";"2010";6030
" ";" ";" ";"2011";5872
" ";" ";" ";"2012";5800
" ";" ";" ";"2013";5908
" ";" ";" ";"2014";5897
" ";" ";"70-74 let"
" ";" ";" ";"2010";4511
" ";" ";" ";"2011";4621
" ";" ";" ";"2012";4753
" ";" ";" ";"2013";4933
" ";" ";" ";"2014";5198
" ";" ";"75-79 let"
" ";" ";" ";"2010";3261
" ";" ";" ";"2011";3281
" ";" ";" ";"2012";3431
" ";" ";" ";"2013";3483
" ";" ";" ";"2014";3573
" ";" ";"80-84 let"
" ";" ";" ";"2010";1696
" ";" ";" ";"2011";1860
" ";" ";" ";"2012";2007
" ";" ";" ";"2013";2116
" ";" ";" ";"2014";2218
" ";" ";"85-89 let"
" ";" ";" ";"2010";613
" ";" ";" ";"2011";674
" ";" ";" ";"2012";715
" ";" ";" ";"2013";763
" ";" ";" ";"2014";836
" ";" ";"90-94 let"
" ";" ";" ";"2010";125
" ";" ";" ";"2011";145
" ";" ";" ";"2012";166
" ";" ";" ";"2013";188
" ";" ";" ";"2014";211
" ";" ";"95-99 let"
" ";" ";" ";"2010";25
" ";" ";" ";"2011";22
" ";" ";" ";"2012";21
" ";" ";" ";"2013";19
" ";" ";" ";"2014";18
" ";" ";"100 + let"
" ";" ";" ";"2010";4
" ";" ";" ";"2011";4
" ";" ";" ";"2012";5
" ";" ";" ";"2013";5
" ";" ";" ";"2014";3
" ";"Zasavska"
" ";" ";"0-4 let"
" ";" ";" ";"2010";1066
" ";" ";" ";"2011";1089
" ";" ";" ";"2012";1120
" ";" ";" ";"2013";1105
" ";" ";" ";"2014";1067
" ";" ";"5-9 let"
" ";" ";" ";"2010";913
" ";" ";" ";"2011";895
" ";" ";" ";"2012";904
" ";" ";" ";"2013";933
" ";" ";" ";"2014";985
" ";" ";"10-14 let"
" ";" ";" ";"2010";1009
" ";" ";" ";"2011";988
" ";" ";" ";"2012";952
" ";" ";" ";"2013";939
" ";" ";" ";"2014";901
" ";" ";"15-19 let"
" ";" ";" ";"2010";1109
" ";" ";" ";"2011";1075
" ";" ";" ";"2012";1031
" ";" ";" ";"2013";989
" ";" ";" ";"2014";966
" ";" ";"20-24 let"
" ";" ";" ";"2010";1441
" ";" ";" ";"2011";1393
" ";" ";" ";"2012";1305
" ";" ";" ";"2013";1184
" ";" ";" ";"2014";1081
" ";" ";"25-29 let"
" ";" ";" ";"2010";1766
" ";" ";" ";"2011";1631
" ";" ";" ";"2012";1576
" ";" ";" ";"2013";1517
" ";" ";" ";"2014";1481
" ";" ";"30-34 let"
" ";" ";" ";"2010";1720
" ";" ";" ";"2011";1766
" ";" ";" ";"2012";1743
" ";" ";" ";"2013";1712
" ";" ";" ";"2014";1657
" ";" ";"35-39 let"
" ";" ";" ";"2010";1480
" ";" ";" ";"2011";1426
" ";" ";" ";"2012";1485
" ";" ";" ";"2013";1545
" ";" ";" ";"2014";1556
" ";" ";"40-44 let"
" ";" ";" ";"2010";1601
" ";" ";" ";"2011";1518
" ";" ";" ";"2012";1461
" ";" ";" ";"2013";1435
" ";" ";" ";"2014";1407
" ";" ";"45-49 let"
" ";" ";" ";"2010";1800
" ";" ";" ";"2011";1786
" ";" ";" ";"2012";1766
" ";" ";" ";"2013";1684
" ";" ";" ";"2014";1609
" ";" ";"50-54 let"
" ";" ";" ";"2010";1984
" ";" ";" ";"2011";1929
" ";" ";" ";"2012";1885
" ";" ";" ";"2013";1834
" ";" ";" ";"2014";1763
" ";" ";"55-59 let"
" ";" ";" ";"2010";1787
" ";" ";" ";"2011";1772
" ";" ";" ";"2012";1795
" ";" ";" ";"2013";1815
" ";" ";" ";"2014";1833
" ";" ";"60-64 let"
" ";" ";" ";"2010";1144
" ";" ";" ";"2011";1309
" ";" ";" ";"2012";1403
" ";" ";" ";"2013";1471
" ";" ";" ";"2014";1552
" ";" ";"65-69 let"
" ";" ";" ";"2010";1144
" ";" ";" ";"2011";1076
" ";" ";" ";"2012";1039
" ";" ";" ";"2013";1045
" ";" ";" ";"2014";1026
" ";" ";"70-74 let"
" ";" ";" ";"2010";768
" ";" ";" ";"2011";794
" ";" ";" ";"2012";823
" ";" ";" ";"2013";890
" ";" ";" ";"2014";963
" ";" ";"75-79 let"
" ";" ";" ";"2010";625
" ";" ";" ";"2011";624
" ";" ";" ";"2012";629
" ";" ";" ";"2013";609
" ";" ";" ";"2014";593
" ";" ";"80-84 let"
" ";" ";" ";"2010";365
" ";" ";" ";"2011";382
" ";" ";" ";"2012";392
" ";" ";" ";"2013";405
" ";" ";" ";"2014";420
" ";" ";"85-89 let"
" ";" ";" ";"2010";130
" ";" ";" ";"2011";145
" ";" ";" ";"2012";154
" ";" ";" ";"2013";175
" ";" ";" ";"2014";175
" ";" ";"90-94 let"
" ";" ";" ";"2010";31
" ";" ";" ";"2011";32
" ";" ";" ";"2012";43
" ";" ";" ";"2013";46
" ";" ";" ";"2014";44
" ";" ";"95-99 let"
" ";" ";" ";"2010";9
" ";" ";" ";"2011";6
" ";" ";" ";"2012";7
" ";" ";" ";"2013";6
" ";" ";" ";"2014";7
" ";" ";"100 + let"
" ";" ";" ";"2010";1
" ";" ";" ";"2011";1
" ";" ";" ";"2012";0
" ";" ";" ";"2013";1
" ";" ";" ";"2014";0
" ";"Posavska"
" ";" ";"0-4 let"
" ";" ";" ";"2010";1637
" ";" ";" ";"2011";1713
" ";" ";" ";"2012";1741
" ";" ";" ";"2013";1812
" ";" ";" ";"2014";1805
" ";" ";"5-9 let"
" ";" ";" ";"2010";1649
" ";" ";" ";"2011";1593
" ";" ";" ";"2012";1602
" ";" ";" ";"2013";1568
" ";" ";" ";"2014";1611
" ";" ";"10-14 let"
" ";" ";" ";"2010";1715
" ";" ";" ";"2011";1674
" ";" ";" ";"2012";1672
" ";" ";" ";"2013";1662
" ";" ";" ";"2014";1680
" ";" ";"15-19 let"
" ";" ";" ";"2010";1939
" ";" ";" ";"2011";1879
" ";" ";" ";"2012";1802
" ";" ";" ";"2013";1778
" ";" ";" ";"2014";1717
" ";" ";"20-24 let"
" ";" ";" ";"2010";2319
" ";" ";" ";"2011";2211
" ";" ";" ";"2012";2106
" ";" ";" ";"2013";2005
" ";" ";" ";"2014";1830
" ";" ";"25-29 let"
" ";" ";" ";"2010";2693
" ";" ";" ";"2011";2647
" ";" ";" ";"2012";2607
" ";" ";" ";"2013";2565
" ";" ";" ";"2014";2561
" ";" ";"30-34 let"
" ";" ";" ";"2010";2826
" ";" ";" ";"2011";2858
" ";" ";" ";"2012";2810
" ";" ";" ";"2013";2789
" ";" ";" ";"2014";2739
" ";" ";"35-39 let"
" ";" ";" ";"2010";2654
" ";" ";" ";"2011";2689
" ";" ";" ";"2012";2679
" ";" ";" ";"2013";2726
" ";" ";" ";"2014";2723
" ";" ";"40-44 let"
" ";" ";" ";"2010";2716
" ";" ";" ";"2011";2674
" ";" ";" ";"2012";2621
" ";" ";" ";"2013";2618
" ";" ";" ";"2014";2638
" ";" ";"45-49 let"
" ";" ";" ";"2010";2869
" ";" ";" ";"2011";2842
" ";" ";" ";"2012";2804
" ";" ";" ";"2013";2782
" ";" ";" ";"2014";2761
" ";" ";"50-54 let"
" ";" ";" ";"2010";2811
" ";" ";" ";"2011";2808
" ";" ";" ";"2012";2858
" ";" ";" ";"2013";2873
" ";" ";" ";"2014";2856
" ";" ";"55-59 let"
" ";" ";" ";"2010";2729
" ";" ";" ";"2011";2733
" ";" ";" ";"2012";2755
" ";" ";" ";"2013";2748
" ";" ";" ";"2014";2734
" ";" ";"60-64 let"
" ";" ";" ";"2010";2022
" ";" ";" ";"2011";2211
" ";" ";" ";"2012";2355
" ";" ";" ";"2013";2452
" ";" ";" ";"2014";2535
" ";" ";"65-69 let"
" ";" ";" ";"2010";1537
" ";" ";" ";"2011";1470
" ";" ";" ";"2012";1547
" ";" ";" ";"2013";1623
" ";" ";" ";"2014";1697
" ";" ";"70-74 let"
" ";" ";" ";"2010";1298
" ";" ";" ";"2011";1321
" ";" ";" ";"2012";1334
" ";" ";" ";"2013";1318
" ";" ";" ";"2014";1360
" ";" ";"75-79 let"
" ";" ";" ";"2010";991
" ";" ";" ";"2011";993
" ";" ";" ";"2012";984
" ";" ";" ";"2013";1024
" ";" ";" ";"2014";1022
" ";" ";"80-84 let"
