"Umrli po: SPOL, LETO, KAZALNIK , STATISTI?NA REGIJA"

" ";" ";"Umrli";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";" ";"Pomurska";"Podravska";"Koro?ka";"Savinjska";"Zasavska";"Spodnjeposavska";"Jugovzhodna Slovenija";"Osrednjeslovenska";"Gorenjska";"Notranjsko-kra?ka";"Gori?ka";"Obalno-kra?ka"
"?enske"
" ";"2000";656;1592;306;1182;250;367;602;1994;795;276;619;392
" ";"2001";683;1563;293;1144;256;362;611;1883;812;263;549;435
" ";"2002";718;1512;320;1232;222;356;604;1926;805;294;580;436
" ";"2003";693;1607;312;1211;227;351;640;2133;821;261;646;474
" ";"2004";680;1557;317;1206;250;358;625;1964;803;256;565;463
" ";"2005";698;1637;330;1195;244;348;635;2145;808;282;635;455
" ";"2006";648;1588;308;1157;242;375;559;2034;743;233;597;426
" ";"2007";680;1534;313;1112;213;373;660;2035;851;273;596;471
" ";"2008";679;1571;314;1186;225;346;621;2008;870;267;602;445
" ";"2009";701;1557;309;1215;231;389;690;2109;838;254;643;521
" ";"2010";697;1592;314;1192;247;380;657;2061;831;282;607;457
" ";"2011";736;1611;353;1239;262;420;654;2071;801;252;605;460
" ";"2012";722;1648;335;1296;255;416;651;2240;830;291;635;526
" ";"2013";704;1681;335;1277;259;388;678;2196;899;249;638;475
" ";"2014";689;1590;337;1264;252;400;661;2150;874;304;666;491